name,sector,year_founded,label_date,website,description,founders,email
Sprindt,Fintech,2020,12/2020,http://sprindt.com,Sprindt est une solution qui offre un dashboard et une platform web qui permettent de gérer de bout en bout le processus de la pré-vente pour les entreprises qui disposent d'un department commercial actif.,"Habib Wenish, Ramzi Hamrouni, Hédi Akrout",n.a.
Fisco,Fintech,2020,03/2021,,Fisco est un expert comptable en ligne qui permet de faciliter l'onboarding des utilisateurs dans la télédéclaration pour les petits business.,"Ismail Abdellaoui, Mohamed Sghaier, Alaa Souid, Farouk Skhiri",n.a.
Carpet Plus,Commerce and shopping,2019,06/2020,http://www.carpet.plus,Carpet Plus est une plateforme collaborative de conception et de vente des tapis personnalisés faits à la main.,"Mourad Elfelah, Moncef Ben Rejeb, Amani Abidi",n.a.
LA FIBRE ARTISANALE,Commerce and shopping,2015,03/2021,https://www.lalistetunisienne.tn/,"Lista International a pour vocation le lancement et le développement de marques d’objets de décoration issus de l’artisanat tunisien, et revisités par des designers tunisiens","Khaled Ben Brahim, Samia Cherif",n.a.
Asklepios,HealthTech,2019,06/2019,https://www.asklepios.io,Asklepios est un compagnon médical permettant au patient de communiquer ses informations médicales à son médecin pour l'optimisation thérapeutique de ses maladies.,"Marwen Badri, Youssef El Behi",n.a.
Neoshop,Commerce and shopping,2015,11/2019,http://www.neoshop.tn,Neoshop est un site e-commerce de prêt-à-porter qui a pour vision de faire de la technologie son point fort permettant de faire la différence,"Donia Fayach, Ahmed Nsiri",n.a.
Improve Software TN,Agritech,2019,09/2020,http://www.improve-software.com/,Improve Software TN développe des solutions sur mesure destinées aux agriculteurs souhaitant obtenir une meilleure gestion des eaux d’irrigations et une maîtrise des coûts,"Ines Hakiri, Salah El Amami",n.a.
Access Aligner,HealthTech,2019,08/2020,http://www.accessaligner.com,Access Aligner est spécialisée dans la fabrication de traitements orthodontiques par gouttières invisibles.,"Hind Ben Salem, Wassim Toukabri, Sofiane Gritli",n.a.
Tekum,Business Software and services,2020,12/2020,http://bird-notes.com/,"Tekum offre le CRM Bird Notes pour les industriels pharmaceutiques, pour gérer leurs équipes de délégués ainsi que les tournées médicales d’une façon plus efficace et précise.","Nizar Ellouze, Ghorbel Amal",n.a.
4InA Technologie,Environment,2020,12/2020,https://4inatechnologie.wixsite.com/4ina-technologie,4InA technologie est une entreprise spécialisée dans le développement des solutions d’intelligence artificielle. Notre premier axe est le développement des systèmes de télégestion d’énergie électrique pour les industries.,"Sabri Mhimdi, Zribi Hinda",n.a.
MEDILSYS,HealthTech,2015,04/2019,http://medilsys.com/,Medilsys fournit aux structures hospitalières les solutions les plus innovantes en systèmes d’informations cliniques spécialistes en soins intensifs.,"Anis Ghorbel, Najmeddine Nouri, Sofiene Ghorbel",n.a.
Healthcare Anywhere,HealthTech,2018,05/2019,,"PortailWEB + AppliMobile pour particuliers WorldWide, l'objectif est de digitaliser et gérer ses propres données santé (Medical Records) de manière inédite, sécurisée, anywhere Réseau social mondial spécialisé santé.","Fadoua Ben Rejeb Ouerdiane, Imed Elabed",n.a.
OXAHOST,Business Software and services,2018,03/2020,https://www.oxahost.tn,Oxahost est un fournisseur d'hébergement Internet et des solutions digitales et commercialise ses services en Tunisie et partout dans le monde via sa plateforme web.,Tarek Nakbi,n.a.
Kiwi Stock Light,Business Software and services,2017,08/2020,http://stock.kiwisoftwares.net,"Kiwi Stock Light est une plateforme cloud qui permet de mieux gérer son entreprise: gestion des ventes, achats, dépenses, clients, fournisseurs...",Ali Bouslama,n.a.
Coinsence,Fintech,2019,03/2020,http://Coinsence.com,"Coinsence offre une plateforme de collaboration de-centrale permettant aux organisations et aux communautés d’émettre leur propre monnaie communautaire pour activer les ressources, faciliter l'échange et financer les projets collaboratifs.",Karim Chabrak,n.a.
Réseau social medical : Saheelha,Business Software and services,2019,09/2019,http://www.saheelha.com,Saheelha est un réseau sociale médicale qui permet d’offrir certains services pour les médecins et les patients .,Abidi Marwen,n.a.
Moline,HealthTech,2018,03/2021,http://www.moline.com.tn,Moline se spécialise dans la fabrication de produits de soin et d’hygiène corporelle pour bébés et mamans à partir de matières premières d’origine naturelle.,Alia Belkhodja,n.a.
FlowsMaster,Business Software and services,2020,10/2020,http://www.techinnovlabs.com,"Technagile Innovation Labs propose des solutions innovantes pour servir ses clients dans leurs transformation digitale, basées sur les dernières technologies. Grâce à la RFID et à l'intelligence artificielle, ils offrent une expérience client unique à des prix accessibles.","Jamel Gasri, Nesrine Ben Guirat, Wajih Abidi, Khaled Ben Younes, Ahmed Mnasri",n.a.
CHMISA,Environment,2020,08/2020,,DigiVoltaic Company développe une marketplace qui facilite le processus d’achat des systèmes d’énergies renouvelables en connectant les professionnels avec des prospects qualifiés.,Bechir Taboubi,n.a.
faavly,Ad Tech and Creative Tech,2018,08/2019,http://www.faavly.com,faavly est le premier réseau social de football qui permet aux fans & amoureux du jeu de suivre et pratiquer leurs sport favori.,Mohamed Amine Grichi,n.a.
Fouita,Business Software and services,2020,12/2020,https://fouita.com,"Fouita simplifie la création et l'amélioration des sites web suite à un accès direct à une bibliothèque des composants plug and play, organisés par thème et par domaine d’activité.",Abdelhay Najjar,n.a.
SmartQ ,Business Software and services,2021,03/2021,https://smartq.tn ,"SmartQ est un système de gestion des files d'attente (QMS) basé sur le cloud qui permet aux entreprises confrontées à des problèmes de gestion des files d'attente de mieux gérer le flux de leurs clients. Il permet aux personnes de rejoindre une file d'attente à distance, de n'importe où et à tout moment.",Ramzi Zelfani,n.a.
CREATIVE CULINARY,FoodTech & New Food,2015,06/2019,https://www.tawtaw.co,Application de cuisine maison en livraison. Des plats mijotés avec des ingrédients frais et de saison commandables en 3 clics et livrés en 35 minutes.,"Aziz BenChedli, Mahmoud Derouiche, Ahmed Selmi",n.a.
Tunisiabiotech,HealthTech,2020,10/2020,http://www.tunisiabiotech.com,"Tunisiabiotech développe des kits utilisés pour la biotechnologie, et assure la formation pratique des chercheurs et des étudiants sur les technologies innovantes en biotechnologie.",Oualid Sbai,n.a.
Quantylix Risk & Data,Fintech,2020,06/2020,http://www.quantylix.com,Quantylix Risk & DATA est une RegTech. Elle développe des solutions innovantes pour mieux répondre aux exigences règlementaires et prudentielles des institutions financières essentiellement.,"Hamza Amiri, Moez Hammami, Mohamed Bessa",n.a.
Sentinel Data,HealthTech,2017,02/2020,http://sentinel.com.tn,"Sentinel Data offre une solution de pointe visant la collecte, la sécurisation, le traitement, l’analyse et l’exploitation des données pharmaceutiques.","Walid MNIF, Oussama ELKACEH, Aymen Fourti",n.a.
Xgenbox,Environment,2023,05/2023,http://www.xgenbox.com,,"Naoufel Ben Moussa, kais jrad, Mohamed salah Nachi, Selim Ben Mansour",n.a.
GrowApp,Ad Tech and Creative Tech,2020,09/2020,http://growapp.digital,L'outil Social media Growapp permet aux équipes marketing d'extraire de la Data et de collaborer de manière fluide lors de la création et de l'approbation du contenu Social media.,Wael Aouididi,n.a.
Chantier,Business Software and services,2018,01/2020,http://www.chantier.tn,Chantier.tn est un service de mise en relation entre les professionnels du bâtiment et les particuliers ou entreprises ayant besoin d'un professionnel du bâtiment.,"Moufid BEN HMIDA, Shady Achouri",n.a.
I POMM,Advanced Manufacturing & Robotics,2019,04/2020,,IPOMM est une solution SaaS de maintenance (GMAO ) et facility management basée sur l'importation de la DATA à partir des maquettes numériques de la technologie BIM ( Building Information Building) tout en intégrant la portabilité et IoT,"Aymen Karoui, Saber Bellaj, Iyed Benhassen",n.a.
Vsober,HealthTech,2018,09/2019,http://vsober.fr/,Vsober est une application de distraction en réalité virtuelle qui réduit la douleur des enfants pendant les procédures médicales.,"Syrine Boudriga, Mohamed Ala eddine Ben Trad",n.a.
Save Your Wardrobe,Ad Tech and Creative Tech,2020,04/2020,https://www.saveyourwardrobe.com,Startup Fashion qui dématérialise le contenu des garde-robes de ses utilisateurs pour les aider à mieux consommer.,"Mehdi Doghri, Hasna Kourda",n.a.
Nkawroo,Wellness,2020,05/2021,https://www.nkawroo.com,Nkawroo est une plateforme web et mobile qui permet à des sportifs amateurs de réserver en ligne des terrains de sport,Kais Malki,n.a.
Takwinland,EdTech,2017,05/2021,http://www.takwinland.com,Takwinland.com est une plateforme digitale qui rassemble les acteurs de l'écosystème de la formation et numérise le processus au niveau de chacun d'eux,"Brahim jaouad, Mohamed Amroussi, Oumar Rejeb",n.a.
Urban green,Agritech,2020,10/2021,https://www.facebook.com/urbangreen.tn,"Urban Green est spécialisée en agriculture urbaine, qui propose des solutions clé en mains de production locale, pour participer à la transformation des villes et du mode de vie urbain des citadins.","Malek Hamouda, Hamed Baltagi",n.a.
ESAT,Advanced Manufacturing & Robotics,2017,05/2019,https://www.esat.tn/,ESAT est une société spécialisée dans le prototypage des cartes électroniques.,Mohamed Sellaouti,n.a.
Seabex,Agritech,2021,07/2021,https://www.seabex.com,"Seabex développe des solutions intelligentes pour une agriculture durable et raisonnée. Ils offrent une plateforme qui permet de fournir des préconisations d’irrigation sur mesure et fondée sur la compilation de données de sources diverses, exécutables automatiquement pour une meilleure productivité et une meilleure gestion des ressources. Ce qui garanti une constance optimale dans la production et l’approvisionnement.","Amira Cheniour, Ines Hamida, Taher Mestiri",n.a.
Birou,Business Software and services,2021,09/2021,https://birou.tn/,"Birou est une plateforme intelligente de facturation professionnelle en ligne pour gérer les factures de ventes et d'achats, devis, clients, paiements.","Chaibi Alaa, Boumiza Imen",n.a.
BipEvents,Advanced Manufacturing & Robotics,2019,05/2020,https://bip.events/,"Bip est la première solution en ligne de billetterie en self-service et paiement cashless pour tout types d’événements en SaaS (festivals, concerts, private events…)                              https://bip.events","Karim Harmouni, Sarah Arbi, Amen Ben Mlouka",n.a.
Journey رحلة كتاب,EdTech,2021,03/2021,https://www.thejourney.space/,"Book Journey est une plateforme permettant aux lecteurs des livres et chercheurs de connaissance arabophones de créer, publier et acheter des livres audio, des livres électroniques et des livres physiques, également naviguer, interagir , créer et partager des articles, des critiques de livres , des événements ... tout contenu en relation avec les livres et la connaissance .","Houssem Baaka, Aya Achour, Bilal Nsib",n.a.
NovaTEK Solution,Agritech,2020,03/2020,http://novatek-solutions.com,Développement de solutions innovantes robotiques et IoT intégrées de monitoring en temps réel destinés a l'agriculture et la gestion énergétique.,"Safa Bouhajer, Karim Boughanmi, Ilyes Karma",n.a.
KHEER,Agritech,2018,01/2020,http://www.aptyx.io,APTYX est une startup spécialisée dans la fabrication des cartes électroniques assemblées.                              Elle propose des solutions IOT pour l'agriculture de précision en utilisant l'intelligence artificielle.,"Chaker LAFI, Haythem KHALIFA, Salem KHALIFA, Béchir YAHIA",n.a.
Logis Technologies,Business Software and services,2018,01/2020,http://www.logis.tn,Logis Technologies fournit différents ensembles d'outils conçus pour le secteur immobilier afin d'aider les professionnels de l'immobilier à gérer efficacement leur entreprise et les consommateurs à trouver facilement leur logement.,Riadh Ellouze,n.a.
Eva Dam Technology,Business Software and services,2021,07/2021,http://www.evadam.io,"EDM KYC est le dispositif de filtrage de Evadam, qui consiste à vérifier les documents, analyse biométrique sur l'utilisateur et un reporting immédiat avec un score. le projet a pour but la lutte contre les fraudes sur le web et le blanchiment d’argent en assurant un autre niveau de sécurité des données.","Souhail Msakni, Sami Sghaier, Ahmed Liouene",n.a.
GATE INDUSTRIELLE,Advanced Manufacturing & Robotics,2016,04/2020,,"GATE INDUSTRIELLE touche la majorité des domaines nécessaire pour le bon fonctionnement des chaines de productions : informatique, Automatisme industrielle et robotique.",Mohamed Sahlaoui,n.a.
robotdot,Advanced Manufacturing & Robotics,2021,11/2021,https://www.youtube.com/watch?v=Rsmz_QYibdc,"robotdot est un robot intelligent, autonome et mobile dédié aux industries de semiconducteur, il automatise et optimise les tests sur les composants.","Mohamed Ghazi Baccouche, habib gafsi",n.a.
Facstore,EdTech,2021,09/2021,http://www.my-facstore.com/,Facstore est une plateforme participative pour le partage et la vente des documents électroniques ainsi que la vente des services associés aux universités et étudiants.,"Takoua Gharbi, Aya Jallali",n.a.
INOTEK ENGINEERING,Consumer products and services,2019,05/2019,https://www.inotek.tn/,"Conception et production d'objets connectés et le développement de leurs logiciels spécifiques (web, mobile, embarqué...) pour notre compte ou pour autrui.","Mehdi Mazlout, Anis Messaoud, Mohamed Walid Sghari",n.a.
Kidsbook,EdTech,2019,09/2019,http://kidsbooksolution.com/,"Kidsbook est une plateforme pour la communication, l'échange d'informations et le suivi du développement des enfants en école primaire, dédiée à l'administration, les enseignants, parents.","Belkhir Mohamed Nadhir, Hafedh Dziri",n.a.
Analytix-YS,Fintech,2021,10/2021,http://analytix.beatstamp.fr/,Analytix est une plateforme de veille stratégique offrant des possibilités d'exploration sur des données d'entreprise traitées et enrichies présentées en format de Dashboard via l’utilisation de la Business Intelligence et la Data Science.,"mariam ouanes, Ahmed Becha, Ines El Ayeb, Amine Gara",n.a.
TŪNIQ,Social Business,2019,09/2021,http://tuniqoasis.com/,"TŪNIQ est un label de design nord-africain qui soutient une éthique radicale du travail et l'art du travail manuel traditionnel, grâce à sa structure transparente à bénéfices partagés avec ses travailleurs.",Iman Masmoudi,n.a.
WKF par FLEXITEK,HealthTech,2020,02/2021,https://wkf.flexi-tek.com/,"WKF est un logiciel métier destiné aux agences de communication, aux agences marketing et aux web agencies, construit autour d'automates qui guide l’utilisateur dans son processus métier.","Alexandre FLORES, Mohamed JOMAA",n.a.
fixiha.tn,Commerce and shopping,2016,09/2019,https://www.fixiha.tn,Fixiha.tn est une marketplace spécialisée dans les produits de bricolage et de jardinage pour professionnels et particuliers.,Ahmed Ben Said,n.a.
IJA SOLUTION,Ad Tech and Creative Tech,2019,07/2020,http://www.ijasolution.com,"ija est une application mobile de réservation et de ticketing adressée aux organisateurs d'événements, les professionnels du Food & Beverage et aux particuliers.",Hatem Drira,n.a.
almourabi e-learning,EdTech,2020,06/2021,http://almourabi.com,Almourabi est une plateforme d'enseignement à distance offrant des cours en ligne aux élèves de la 6ème année primaire jusqu'à la 4ème année secondaires.,"Mourad Gabsi, Aya Drissi",n.a.
Doctolys,HealthTech,2022,01/2023,www.doctolys.com,"Plateforme de dossier médical informatisé:
- Gratuite pour les médecins
- Certifiée par les sociétés savantes qui auront accès à la Healthcare Bigdata pour la recherche scientifique.
- Financée par les laboratoires pharmaceutiques qui bénéficieront d'outils innovants de promotion pharmaceutique intégrés dans la plateforme.","Maroua Boubaker, Sadok Derouich, Safwen Derouiche",contact@doctolys.com
Konnect,Fintech,2021,03/2021,https://konnect.network,Une marketplace de services avec paiement intégré sur demande ou en marque blanche.,Amin Ben Abderrahman,contact@konnect.network
byessa.com,Commerce and shopping,2021,11/2021,https://www.byessa.com,Byessa est une plateforme en ligne qui met en relation les détendeurs de casses automobiles et les personnes cherchant des pièces de rechange d'occasions.,"Mohamed Slim Mansouri, Asma Saidi",n.a.
KB2I,Business Software and services,2015,11/2020,http://www.kb2i.com/,"KB2I propose des systèmes d'aide à la décision qui améliore la performance des entreprises. Avec sa solution Sense Analytics ,composée de hardware (des capteurs) et de logiciel (une plateforme décisionnelle), elle permet l'optimisation de la gestion d'un point de vente physique.","Zina Douar, Brahim Douar",n.a.
Edutest,EdTech,2019,03/2020,http://www.edutest.tn,Edutest est une platforme en ligne qui aides les jeunes a apprener l'anglais et trouvez des opportunites avec bourse a l'etranger,"Saeed Zarrouk, Imen Yahyaoui",n.a.
JuniorsCV,EdTech,2021,08/2021,http://www.juniorscv.com/,JuniorsCV est un réseau professionnel pour étudiants et jeunes diplômés afin de les aider à s’insérer sur le marché de travail.,"Samy Jaidène, Mayassa Fehaiem",n.a.
ADIOM,Agritech,2018,07/2020,http://www.guidephytosanitaire.tn,Plateforme digitale pour le secteur agricole afin de générer une nouvelle relation entre les agriculteurs et les professionnels du domaine agricole.,Wael Kanzari,n.a.
elprojet,EdTech,2021,05/2021,http://www.elprojet.tn,"El projet produit des kits électroniques complets, ciblant les élèves de tous les niveaux, fabriqué en majorité en carton. Conçue d'une manière facilitant à l'élève la construction de son propre projet technique",Akram Mrad,n.a.
FABSKILL,Business Software and services,2018,06/2019,https://www.fabskill.com,FABSKILL offre aux recruteurs une plateforme web pour la gestion digitalisée des processus de recrutement en utilisant les nouvelles technologies et l'intelligence artificielle.,"Sofiene Mabrouk, Bechir Afifi, Mohamed BenSfar",n.a.
Minima.ai,Business Software and services,2019,12/2019,,Minima.ai Une plateforme d'Automatic Machine Learning (AutoMl) destinée aux PME qui n'ont pas les moyens pour investir dans l'AI.,Houssem Eddine M'rad,n.a.
Shadoc,Security,2020,03/2020,http://shadoc.io,"Sirat Edition est un Spin-off de la société SIRAT qui propose une solution en ligne destinée aux entreprises et aux particuliers permettant de signer à un ou à plusieurs électroniquement des documents, de les stocker, de les partager facilement et de sécuriser les opérations par block-Chain","Amal Torkhani, Amal Selami, Zakaria Karim Makni",n.a.
Medquick,HealthTech,2020,02/2021,http://www.medquick.tn,Medquick est une marketplace dans le secteur médical spécialisée dans la vente en unité et en gros de dispositifs médicaux.,"Ahmed Turki, Mustapha Turki",n.a.
e-Scola,EdTech,2020,02/2021,http://www.e-scola.fr,e-Scola est un espace de e-learning offrant aux enseignants et aux apprenants des outils interactifs innovants pour faciliter l’interaction entre les membres de la communauté éducative.,"Sami Mlaiki, David Simb",n.a.
DEDALE SOLUTIONS,Fintech,2020,09/2020,http://dedale-solutions.com,DEDALE SOLUTIONS est une solution de création de plateforme digitale multi-site pour les institutions financières groupant plusieurs modules de gestion de données et de contenu.,"Hichem Elloumi, Fatma Mokadmi, Riadh Brinis, Khalil Masmoudi",n.a.
ETNAFES,TravelTech,2021,03/2021,http://www.etnafes.com/,"ETNAFES est une application mobile destinée aux propriétaires des logements pour la gestion de leurs espaces accompagner d'un moteur de recherche qui présente toutes les destinations, les types de packs sous format vidéo 360 degré, une carte géographique avec l’itinéraire et les logements dans le circuit présélectionné.","Ali Safsafi, Ichrak Aouissaoui, Najeh Bedhief",n.a.
Vitah,HealthTech,2021,06/2021,https://vitah.tech,Une solution hybride hardware et software pour le monitoring des signes vitaux et la détection rapide d'anomalies ou problèmes de santé.,"Mohamed Taha Ben Mhenni, Iheb Sahloul, Saifeddine Ben Mhenni",n.a.
Toumi Electronics,Advanced Manufacturing & Robotics,2017,11/2020,https://www.toumi-electronics.com,"TOUMI Electronics offrant des solutions d’ingénierie pour l’industrie électronique, électromécanique, L’industrie grand public, automobile et défense.",Ali Toumi,n.a.
7keema,HealthTech,2021,08/2021,https://7keema.com/,"7keema platform propose des services de soins infirmiers à domicile pour les patients sortant de l'hôpital, les patients souffrant de maladies chroniques ou les personnes âgées.","Amr Bakr, Awad Nursing, Tamer Shawer",n.a.
